objectid,hr_uid,province,engname,frename,casecount,deaths,recovered,tests,totalpop2019,pop0to4_2019,pop5to9_2019,pop10to14_2019,pop15to19_2019,pop20to24_2019,pop25to29_2019,pop30to34_2019,pop35to39_2019,pop40to44_2019,pop45to49_2019,pop50to54_2019,pop55to59_2019,pop60to64_2019,pop65to69_2019,pop70to74_2019,pop75to79_2019,pop80to84_2019,pop85older,averageage_2019,medianage_2019,shape_area,shape_length,last_updated,sourceurl,globalid,retrieved_at
31,2408,QC,Région de l'Abitibi-Témiscamingue,Région de l'Abitibi-Témiscamingue,149,3,,,148529,7806,8461,8128,7430,8516,9522,8758,9313,8890,8451,9984,12175,12084,9607,7663,5121,3257,3363,42.6,43.6,144028420355.098,2022226.80638227,1588105680000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,cef3a9ff-5524-452d-bca9-43627fdf0611,2020-04-29 14:16:03
32,2409,QC,Région de la Côte-Nord,Région de la Côte-Nord,114,0,,,87447,4182,4647,4682,4365,4549,4953,4801,5353,5397,5429,6561,7521,7198,5781,4628,3211,2162,2027,43.7,45.7,694319177679.02,10667861.6763063,1588105680000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,6f999911-9627-40ef-92aa-cd7fc9106c7a,2020-04-29 14:16:03
33,2410,QC,Région du Nord-du-Québec,Région du Nord-du-Québec,7,0,,,14642,800,790,800,759,761,929,952,1033,955,992,1088,1294,1154,835,652,404,273,171,41.5,42.6,911814094269.148,7393913.45762307,1588102560000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,17f34b76-8177-4eb1-a35b-e93ec778afc1,2020-04-29 14:16:03
34,3546,ON,Niagara Regional Area Health Unit,Circonscription sanitaire régionale de Niagara,472,42,204,,450816,20222,21510,22477,23766,28601,29626,26713,24434,24225,27071,32098,36055,33286,29095,25767,18603,12668,14601,44.2,45.7,3545058452.39844,318942.118927528,1588109280000,https://www.niagararegion.ca/health/covid-19/default.aspx,85032ec9-5a18-4a1a-8ca6-d21acefcd298,2020-04-29 14:16:03
35,3547,ON,North Bay Parry Sound District Health Unit,Circonscription sanitaire du district de North Bay Parry Sound,16,0,15,1636,128804,5678,5843,6031,6373,7073,7959,7372,6759,6622,7454,8980,11355,10566,9362,7985,5840,3881,3671,45.4,48.1,39516828702.4922,1806802.80998578,1588109340000,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,d8c2dedb-a9a7-4b62-9969-a6faaa1980a6,2020-04-29 14:16:03
36,3549,ON,Northwestern Health Unit,Circonscription sanitaire du Nord-Ouest,16,,15,1349,74771,4901,5003,4857,4931,5144,5003,4402,4261,4139,4311,4639,5532,5189,4115,3207,2107,1521,1509,39.5,38.7,526131406273.582,3773240.60318343,1588083060000,https://www.nwhu.on.ca/covid19/Pages/home.aspx,abd0444e-e2a1-497c-8a75-e5b5762f0baa,2020-04-29 14:16:03
37,3551,ON,City of Ottawa Health Unit,Circonscription sanitaire de la ville d'Ottawa,1221,71,529,,1019693,53921,53820,53387,54898,71834,83291,78433,71543,66877,65866,67112,73139,62947,51231,42680,28569,19340,20805,40.4,39.2,5843672476.95313,388217.078359734,1588109460000,https://www.ottawapublichealth.ca/en/public-health-topics/novel-coronavirus.aspx?utm_source=OPH&utm_medium=Home_Page_Banner&utm_campaign=Coronavirus&utm_content=Home_Page_Banner_OPH#Read-the-latest-statement,f46b61ab-19e1-4051-946e-32002768ddd0,2020-04-29 14:16:03
38,3553,ON,Peel Regional Health Unit,Circonscription sanitaire régionale de Peel,2358,89,242,,1553076,82363,87706,94723,99082,112245,117685,111890,111203,109376,106734,109538,107899,88973,71247,57420,38204,24940,21848,39,38.2,2424379930.0625,236282.874585966,1588109460000,http://www.peelregion.ca/coronavirus/#cases,58190c56-92ca-4e4e-ad24-fe885c550a82,2020-04-29 14:16:03
40,3555,ON,Peterborough County–City Health Unit,Circonscription sanitaire du comté et de la cité de Peterborough,86,2,42,3713,144237,6720,6794,6702,6658,8565,10185,9400,8053,7152,7733,9453,11452,11286,10012,8727,6173,4272,4900,44.8,46.2,8292254506.70703,413596.676660608,1588109520000,https://www.peterboroughpublichealth.ca/your-health/diseases-infections-immunization/diseases-and-infections/novel-coronavirus-2019-ncov/local-covid-19-status/,aa3f708b-2039-4eb3-992f-4df701806483,2020-04-29 14:16:03
41,3556,ON,Porcupine Health Unit,Circonscription sanitaire de Porcupine,59,4,43,1875,90540,5152,5040,5049,5067,5490,5498,5057,5296,5104,5490,6019,7641,7356,5946,4467,2905,2061,1902,42.2,43.5,730591646330.547,5377468.33684795,1588168560000,http://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/,f8661a8f-4d7c-48ac-9007-56b58ef0ac0c,2020-04-29 14:16:03
42,3557,ON,Renfrew County and District Health Unit,Circonscription sanitaire du comté et du district de Renfrew,15,1,10,1477,106578,5899,5496,5129,5335,5934,6548,6721,6336,5829,5913,6907,8688,8055,7172,6030,4394,3063,3129,43.8,45.1,33773811068.9258,1077930.29075719,1588109520000,https://www.rcdhu.com/novel-coronavirus-covid-19-2/,b8332908-ad89-44e0-bbd0-86c9e03f369d,2020-04-29 14:16:03
43,3558,ON,The Eastern Ontario Health Unit,Circonscription sanitaire de l'Est de l'Ontario,91,0,45,1930,179454,9138,9421,9743,9805,10223,10219,9413,9645,9974,11039,13440,15999,14248,11934,9849,6808,4417,4136,43.5,46,10721378972.8867,504439.749428244,1588109580000,https://eohu.ca/en/my-health/covid-19-status-update-for-eohu-region,07381039-5aa9-436c-ad92-e6da548431c8,2020-04-29 14:16:03
44,3560,ON,Simcoe Muskoka District Health Unit,Circonscription sanitaire du district de Simcoe Muskoka,261,15,144,,562142,26901,28748,29760,31014,34658,37438,35294,34385,33391,36400,41405,46377,39079,32515,28067,20171,13391,13148,42.6,43.4,19460622907.5703,1259109.25344168,1588109580000,http://www.simcoemuskokahealthstats.org/topics/infectious-diseases/a-h/covid-19#Confirmed,124d22ca-7518-421f-a811-e2f0b39fc737,2020-04-29 14:16:03
45,3561,ON,Sudbury and District Health Unit,Circonscription sanitaire de Sudbury et son district,57,1,45,3466,202681,9759,10045,10124,10439,12555,13534,12334,12138,11910,12631,13721,16621,15497,13172,10800,7461,5045,4895,43.3,44.4,110843474483.066,3609396.51331272,1588109640000,https://www.phsd.ca/health-topics-programs/diseases-infections/coronavirus/current-status-covid-19,673afa7b-0155-4739-bf21-d9238048fe08,2020-04-29 14:16:03
46,3562,ON,Thunder Bay District Health Unit,Circonscription sanitaire du district de Thunder Bay,69,1,51,2922,154444,7878,7879,7798,8088,9481,10664,9764,9018,8553,9296,10027,12251,11981,10425,7940,5378,3865,4158,43,43.9,668282493282.09,8036945.0588901,1588112040000,https://www.tbdhu.com/coronavirus,1be2ba7e-a6da-46fc-92f1-42cc6c0e5824,2020-04-29 14:16:03
47,3563,ON,Timiskaming Health Unit,Circonscription sanitaire de Timiskaming,12,,11,596,33389,1776,1666,1612,1689,1937,1786,1623,1723,1707,1910,2218,2852,2771,2627,2049,1430,1017,996,45,48.1,34365220547.2266,889473.529628119,1588109640000,https://www.timiskaminghu.com/90484/covid-19#Current%20Situation,de7e4ccb-d405-4f71-97f4-404bd2aeb305,2020-04-29 14:16:03
48,3565,ON,Waterloo Health Unit,Circonscription sanitaire de Waterloo,709,66,269,5770,571232,31917,32226,32924,33110,40344,43494,41844,40315,38096,37513,38268,39948,34036,27934,22345,15694,10527,10697,39.7,38.7,2630614384.35156,252085.257126248,1588109700000,https://www.regionofwaterloo.ca/en/health-and-wellness/positive-cases-in-waterloo-region.aspx,1657926a-de14-4ec2-a97b-7a8b54622ba4,2020-04-29 14:16:03
49,3566,ON,Wellington-Dufferin-Guelph Health Unit,Circonscription sanitaire de Wellington-Dufferin-Guelph,270,19,89,,304193,17085,16932,17303,17888,20178,22203,21209,19479,18808,20021,20818,22868,19453,15995,13187,8793,5986,5987,40.4,40,8073621402.45313,548942.34375983,1588109700000,https://app.powerbi.com/view?r=eyJrIjoiMDE0OGVmODctYTcxYS00M2RlLTgzODItMjIxYmM1MzY2YjEyIiwidCI6IjA5Mjg0MzdlLTFhZTItNGJhNy1hZmQxLTY5NDhmY2I5MWM0OCJ9,a86fca32-95a4-4234-bfb6-622b12f32c4b,2020-04-29 14:16:03
50,3568,ON,Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,581,43,159,6199,348836,17864,19055,20754,22204,24654,22730,19665,19138,20741,23063,25205,26560,23630,19798,16569,11309,7744,8152,41.4,42,3389722919.84766,373745.95216569,1588109760000,https://www.wechu.org/cv/local-updates,00a44660-f775-4f73-aac1-d1ec56aaca88,2020-04-29 14:16:03
51,1203,NS,Zone 3 - Eastern,Zone 3 - Eastern,50,,,,138177,6134,6346,6874,7397,8242,7725,6224,6184,6829,7876,9501,11662,12178,11135,9463,6459,4102,3846,45.8,49.5,34087778771.1602,2794638.62698236,1588098060000,https://novascotia.ca/coronavirus/data/,72b5482f-3f2e-4ae6-a368-a8608b642cac,2020-04-29 14:16:03
52,1204,NS,Zone 4 - Central,Zone 4 - Central,772,,,,444740,20852,21800,21003,21913,29500,36142,36589,33284,30230,29568,29112,32973,29484,24025,19924,12589,7900,7852,41.2,40.2,14725362135.6992,1205835.78486425,1588098060000,https://novascotia.ca/coronavirus/data/,00786a76-f6cd-403e-8d85-36bf269d87e3,2020-04-29 14:16:03
53,1301,NB,Zone 1 (Moncton area),Zone 1 (région de Moncton),23,,,4305,217155,9964,11050,11029,11201,11654,13561,13898,14790,14472,15008,15197,16624,15368,13684,11723,7690,4830,5412,43.2,43.9,21227795742.4297,1103411.10603409,1588099440000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,3e89b814-c25f-4ffe-b991-3310a3712942,2020-04-29 14:16:03
54,1302,NB,Zone 2 (Saint John area),Zone 2 (région de Saint John),26,,,2889,149412,7051,8019,8553,8738,8939,8212,7652,8330,9240,9926,10742,12259,11450,9673,8101,5514,3501,3512,43.1,45,21400131916.3008,1320296.36912704,1588099500000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,e7557c80-9a79-4846-b929-d76c38bfc046,2020-04-29 14:16:03
55,1303,NB,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),47,,,3063,179137,8729,9464,9761,9892,11179,12409,11687,11661,11418,12035,12193,13341,12249,10511,8943,5942,3960,3763,41.9,42.1,50037972742.9883,1071390.65266928,1588099500000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,fcfb3f6f-3194-4a02-b131-75718a603c2a,2020-04-29 14:16:03
56,1304,NB,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),7,,,937,45390,1826,1991,2174,2267,2120,2175,2011,2407,2664,2866,3300,4174,4470,3592,3077,1872,1235,1169,46.4,50.3,17099369358.3867,776563.652588474,1588099500000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,25d24683-b924-47b0-ab7b-18954554eee9,2020-04-29 14:16:03
57,1305,NB,Zone 5 (Campbellton area),Zone 5 (région de Campbellton),12,,,553,23126,808,858,977,1055,1112,1113,875,991,1050,1365,1806,2259,2245,1979,1729,1208,780,916,49,53.8,12171738265.8477,526330.175691132,1588100040000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,fa760c11-19ce-41e4-8d1c-c2dd92f86bad,2020-04-29 14:16:03
58,1306,NB,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),1,,,1163,70761,2577,2747,2874,3190,3301,3147,2760,3325,3969,4463,5686,6711,6766,6223,5197,3469,2219,2138,48.3,52.7,10519982409.4609,773162.948224465,1588100160000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,9fb436e5-fe1a-4579-8a06-b37ffae3690b,2020-04-29 14:16:03
59,4604,MB,Northern Regional Health Authority,Office régional de la santé du Nord,3,,,,77380,9039,7635,7348,6411,6083,5738,5050,4537,4110,4044,3898,3872,3435,2431,1815,994,544,396,30.7,26.9,1434340542087.63,8392579.27135297,1588103220000,https://www.gov.mb.ca/covid19/updates/data.html,17401c93-4065-4490-bcab-32b920729479,2020-04-29 14:16:03
60,4605,MB,Southern Health—Santé Sud,Southern Health—Santé Sud,31,,,,205885,16111,16019,15552,15363,15268,13778,12421,12670,12009,11803,11911,13063,11311,9053,7257,5152,3518,3626,36.6,34.4,65248044629.8984,1910979.49588862,1588103220000,https://www.gov.mb.ca/covid19/updates/data.html,3eecfb30-34b7-414a-8cff-f5632e9b5448,2020-04-29 14:16:03
68,3570,ON,York Regional Health Unit,Circonscription sanitaire régionale de York,1457,90,579,4426,1200761,59459,66329,71738,75162,80846,83248,76713,74040,76475,85947,90772,91186,77055,62050,51472,33291,23393,21585,40.6,40.8,4064797265.5,333210.130119945,1588122420000,https://www.york.ca/covid19,c8fff00e-9d45-48b5-b365-e0899d3611df,2020-04-29 14:16:03
69,3575,ON,Southwestern Public Health Unit,Circonscription sanitaire du sud-ouest,59,4,28,2233,209238,11645,12419,12657,12839,13102,12427,11783,12353,12125,12965,14054,16036,14274,12179,10469,7305,5230,5376,41.7,42.2,7414611562.59375,623756.01721642,1588109880000,https://www.swpublichealth.ca/partners-and-professionals-update-novel-coronavirus-covid-19,e9ea1347-81aa-47a2-850d-a41726e3793c,2020-04-29 14:16:03
70,3595,ON,City of Toronto Health Unit,Circonscription sanitaire de la cité de Toronto,5128,305,2930,,2987513,150465,134471,128262,134036,222882,252892,254865,248350,216646,199134,194679,200621,174547,142429,113681,79425,63322,76806,40.9,39.3,1237669950.44531,196665.700233256,1588109940000,https://www.toronto.ca/home/covid-19/media-room/covid-19-status-of-cases-in-toronto/,8aa96e82-b87b-4239-802e-c687222bebf7,2020-04-29 14:16:03
71,4601,MB,Winnipeg Regional Health Authority,Office régional de la santé de Winnipeg,206,,,,787724,43916,43892,42723,45137,55349,61459,63320,58967,53546,49607,48297,52135,46090,39069,31381,20709,14603,17524,39.7,38.2,1637335866.08594,291749.935121116,1588102980000,https://www.gov.mb.ca/covid19/updates/data.html,7ddc61eb-dc45-4cb7-b1f4-1da8abacb4d5,2020-04-29 14:16:03
72,4602,MB,Prairie Mountain Health,Santé de Prairie Mountain,15,,,,142031,9539,9204,8660,8511,9172,10013,9734,8832,8319,7856,7711,9416,8940,7815,6487,4663,3419,3740,40,38.5,171984764171.344,4055103.42036051,1588103040000,https://www.gov.mb.ca/covid19/index.html,361db834-f0ef-4fd3-bd6a-39d5d82bd180,2020-04-29 14:16:03
73,4603,MB,Interlake-Eastern Regional Health Authority,Office régional de la santé d'Entre-les-Lacs et de l'Est,17,,,,173021,10372,9879,9937,10312,11392,11063,10580,9227,8813,10085,11564,13591,12475,11045,8889,6061,3921,3815,41.6,42.1,200057458790.887,5541445.70734295,1588106460000,https://www.gov.mb.ca/covid19/updates/data.html,defbd08e-1123-472d-bfc2-9793e7c7803f,2020-04-29 14:16:03
74,1011,NL,Eastern Regional Health Authority,Eastern Regional Health Authority,240,3,208,5847,310426,13206,14725,15800,15452,17303,20899,21671,21209,20119,21197,23082,23730,22387,20826,16799,10454,6317,5250,43,43.7,46505484344.5527,4200891.67792063,1588096920000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,782d335c-fdf0-4a41-b17d-ba99a233e0f1,2020-04-29 14:16:03
75,1012,NL,Central Regional Health Authority,Central Regional Health Authority,8,0,6,673,85388,3055,3663,4240,4436,4040,3397,3060,3984,4579,5985,7301,7388,7701,7434,6297,4011,2747,2070,47.4,51.5,107815879545.547,5948328.54169316,1588096980000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,258f61c3-26cb-4974-bb35-a3c04f614202,2020-04-29 14:16:03
76,1013,NL,Western Regional Health Authority,Western Regional Health Authority,4,0,2,1034,73072,2821,3215,3485,3627,3610,3564,3185,3480,3803,4835,5964,6463,6588,6139,5089,3257,2130,1817,46.7,50.8,79031805606.1484,3787222.93627583,1588096980000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,81ee7dae-86e5-4a33-abc5-113dc43f58b9,2020-04-29 14:16:03
77,1014,NL,Labrador-Grenfell Regional Health Authority,Labrador-Grenfell Regional Health Authority,6,0,6,401,35649,1935,2184,2180,2094,2036,2133,2050,2379,2338,2652,2849,2662,2476,2178,1553,972,574,404,40.6,41.8,873296856585.922,29003002.8530348,1588097040000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,9040c519-50cd-43ec-9de0-784c223c14b1,2020-04-29 14:16:03
78,1201,NS,Zone 1 - Western,Zone 1 - Western,54,,,,185660,7434,8051,8477,9518,10168,9084,8190,9034,9834,11708,14044,16660,16036,14177,12941,8981,5597,5726,46.7,50.5,36970262300.4141,2061166.99214068,1588097940000,https://novascotia.ca/coronavirus/data/,28ec3421-760a-4cf3-a099-0cea6f85bfaf,2020-04-29 14:16:03
79,1202,NS,Zone 2 - Northern,Zone 2 - Northern,39,,,,145940,6458,7111,7538,7990,8261,7563,6874,7544,8353,9644,10425,12329,11922,10747,9238,6108,3918,3917,44.9,47.7,25294287144.8867,1440251.61689238,1588098000000,https://novascotia.ca/coronavirus/data/,93303b1e-a421-46da-b2c8-5f8c32a2d08a,2020-04-29 14:16:03
